<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191009,00:00:00,223.1000000,224.7100000,221.7200000,223.1800000,14900260
20191010,00:00:00,222.9900000,224.9300000,222.2700000,224.5000000,14656590
20191011,00:00:00,225.0100000,227.5000000,224.8200000,227.3700000,18254680
20191014,00:00:00,227.3800000,228.6100000,225.5000000,226.0000000,14629550
20191015,00:00:00,225.9900000,227.1500000,224.0600000,226.0000000,18143980
20191016,00:00:00,225.8500000,227.9000000,225.1100000,227.7000000,17795440
20191017,00:00:00,227.6600000,228.6000000,226.0000000,228.0000000,21404300
20191018,00:00:00,227.8800000,228.9000000,227.2000000,228.0000000,16558440
20191021,00:00:00,228.2400000,229.1100000,227.3100000,228.5400000,14398380
20191022,00:00:00,228.5900000,235.3600000,228.2800000,235.3600000,42863380
20191023,00:00:00,234.8600000,237.6700000,233.1600000,236.2000000,39572590
20191024,00:00:00,236.4600000,244.0000000,236.4600000,243.9400000,47588820
20191025,00:00:00,244.1700000,247.4000000,239.5000000,246.7100000,43854890
20191028,00:00:00,247.3400000,249.9600000,242.7000000,244.4000000,34900700
20191029,00:00:00,244.0300000,253.6900000,241.4000000,253.1000000,70808570
20191030,00:00:00,252.8500000,265.2600000,252.0100000,261.6000000,97799760
20191031,00:00:00,262.2900000,267.4000000,257.0000000,260.0000000,89611990
20191101,00:00:00,260.1100000,264.2800000,256.3500000,263.7900000,50894990
20191105,00:00:00,266.0200000,267.5300000,261.3100000,263.0000000,36659860
20191106,00:00:00,263.1100000,266.9800000,258.9100000,266.9800000,37682320
20191107,00:00:00,266.0100000,272.6800000,264.6600000,270.7400000,56144120
20191108,00:00:00,269.9000000,270.2000000,264.4500000,266.0000000,33408610
20191111,00:00:00,265.0000000,265.4500000,259.8000000,260.4000000,42759010
20191112,00:00:00,260.8200000,264.5700000,256.1300000,257.2500000,61477030
20191113,00:00:00,256.1100000,257.1900000,250.7900000,251.8000000,87751920
20191114,00:00:00,252.5500000,253.4600000,244.8000000,248.3400000,127648980
20191115,00:00:00,248.5000000,250.4700000,245.0000000,248.0100000,89282030
20191118,00:00:00,250.0100000,250.4000000,245.6200000,246.1500000,52569520
20191119,00:00:00,246.5000000,248.7000000,244.3200000,248.0100000,66007160
20191120,00:00:00,246.9400000,254.8900000,245.5800000,248.0000000,199141170
20191121,00:00:00,252.0000000,259.8000000,250.0100000,254.3500000,221190060
20191122,00:00:00,253.1200000,257.7200000,250.1300000,251.9900000,92136720
20191125,00:00:00,252.1200000,256.1700000,251.4600000,255.2000000,47749490
20191126,00:00:00,255.6000000,257.4100000,252.0100000,254.0000000,70125370
20191127,00:00:00,253.8000000,255.8500000,252.2500000,253.8900000,37656880
20191128,00:00:00,253.4800000,254.4300000,251.3500000,254.0000000,29765820
20191129,00:00:00,253.8900000,257.5400000,251.8600000,257.5400000,53273480
20191202,00:00:00,258.4500000,263.4000000,254.0500000,254.0500000,70123970
20191203,00:00:00,253.2000000,254.1400000,247.0900000,247.9300000,75267070
20191204,00:00:00,248.5000000,251.9600000,246.4000000,248.9300000,59259200
20191205,00:00:00,249.5000000,250.3000000,244.7700000,246.3600000,61673820
20191206,00:00:00,246.5000000,248.2500000,245.3900000,247.8300000,44833820
20191209,00:00:00,247.9800000,250.2200000,247.4000000,248.7000000,32380540
20191210,00:00:00,248.9000000,250.1500000,246.5000000,246.9000000,34789240
20191211,00:00:00,246.8400000,248.6900000,246.8400000,247.3400000,31231740
20191212,00:00:00,247.6400000,254.6600000,247.3500000,250.4800000,78677990
20191213,00:00:00,251.1100000,252.4800000,248.8000000,249.5000000,41751940
20191216,00:00:00,249.9000000,252.2200000,249.2000000,250.7800000,29595580
20191217,00:00:00,251.2400000,252.8600000,250.8000000,252.0500000,31630020
20191218,00:00:00,252.0000000,252.7100000,250.8500000,251.2900000,29136980
20191219,00:00:00,250.9500000,252.3000000,249.4000000,251.4000000,37352350
20191220,00:00:00,252.7100000,256.5800000,252.2200000,255.5000000,60113390
20191223,00:00:00,251.5000000,255.2000000,251.1100000,255.0000000,37646820
20191224,00:00:00,255.6000000,257.7100000,254.2600000,254.8700000,22751750
20191225,00:00:00,254.9000000,255.4900000,253.0200000,253.2500000,12305460
20191226,00:00:00,253.4500000,254.2400000,252.5000000,254.1000000,10875580
20191227,00:00:00,254.3300000,257.4900000,254.0000000,257.1100000,24199940
20191230,00:00:00,257.0900000,258.3000000,254.7100000,256.4000000,23474000
20200103,00:00:00,259.1000000,261.9000000,257.7700000,259.0000000,34326290
20200106,00:00:00,258.9100000,258.9600000,254.8000000,256.5500000,28106710
20200108,00:00:00,256.2500000,257.3200000,254.7700000,255.7900000,25566970
20200109,00:00:00,255.6600000,256.6800000,251.8200000,254.0700000,33194830
20200110,00:00:00,253.9900000,254.6000000,251.2000000,251.9000000,28545590
20200113,00:00:00,252.5000000,252.5000000,248.4000000,251.5000000,41334580
20200114,00:00:00,252.0000000,253.2000000,249.0000000,250.0000000,32866650
20200115,00:00:00,249.5000000,252.5000000,247.7500000,251.3000000,43936180
20200116,00:00:00,251.8700000,254.5400000,251.5000000,254.2600000,38394410
20200117,00:00:00,254.7600000,256.6000000,253.8000000,255.3900000,42028610
20200120,00:00:00,255.6500000,256.1000000,253.0100000,253.5000000,29957470
20200121,00:00:00,253.3700000,253.4000000,250.8800000,252.9900000,26873610
20200122,00:00:00,252.8100000,253.3900000,248.1000000,248.1000000,38825260
20200123,00:00:00,246.9000000,247.6600000,239.0100000,239.3000000,73654660
20200124,00:00:00,240.1200000,243.2500000,235.2800000,237.9500000,68994040
20200127,00:00:00,235.0100000,235.4000000,229.6500000,230.9600000,104948220
20200128,00:00:00,232.6100000,237.5900000,229.0000000,235.0000000,85405890
20200129,00:00:00,236.9000000,237.3600000,231.3000000,232.0000000,52589600
20200130,00:00:00,230.7000000,232.4900000,229.4500000,231.5300000,41451560
20200131,00:00:00,232.5300000,233.7900000,226.5700000,226.7000000,70264920
20200203,00:00:00,223.8100000,229.9800000,223.8000000,227.6400000,53572940
20200204,00:00:00,228.4700000,231.0800000,226.6500000,230.5000000,45301220
20200205,00:00:00,230.8900000,235.7300000,228.8000000,232.5600000,61685530
20200206,00:00:00,234.0400000,236.0000000,230.1500000,231.3800000,42561470
20200207,00:00:00,232.3800000,233.3900000,227.1400000,229.1100000,49649900
